id,code,name,level,track,group,focus,ok
,AUDIV060,Geografías participativas y divulgación      ,abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD5I029,Gestión y producción de arquitectura interior    ,abierto,I y S,Comunicación y Gestión del Diseño,Gestión de Producción,0
,AUD7I011,Herramientas computacionales I. Representación      ,abierto,I y S,Ciencia y Tecnología,Modelado y Simulación Digital,0
,AUD5I008,"Herramientas computacionales II, modelamiento paramétrico     ",abierto,I y S,Ciencia y Tecnología,Modelado y Simulación Digital,0
,AUD7I013,Herramientas computacionales IV. Modelamiento generativo     ,abierto,I y S,Ciencia y Tecnología,Computación y Pensamiento Lógico,0
,AUD6I008,Herramientas computacionales: representación y simulación     ,abierto,I y S,Ciencia y Tecnología,Modelado y Simulación Digital,0
,AUD7I008,Herramientas computacionales. Modelado conceptual      ,abierto,I y S,Ciencia y Tecnología,Modelado y Simulación Digital,0
,AUD7I021,Herramientas de sustentabilidad textil y upcycling    ,abierto,I y S,Ciencia y Tecnología,Ecodiseño y Sostenibilidad Material,0
,AUDIV010,Herramientas para el emprendimiento en diseño    ,abierto,Ambas,Comunicación y Gestión del Diseño,Emprendimiento y Negocios,0
,AUD6I010,Historia y Teoría de la moda    ,abierto,I y S,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD6V025,Iconografía de la contracultura en Chile    ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUDIV039,Iluminación Natural: diseño eficiente      ,abierto,Ambas,Ciencia y Tecnología,Tecnologías de Energía y Sustentabilidad,0
,AUD7V018,Ilustración Creativa        ,abierto,V y M,Morfología,Narrativa Visual e Ilustración,0
,AUD6V007,Ilustración editorial        ,abierto,V y M,Morfología,Narrativa Visual e Ilustración,0
,AUD5V008,Infografía         ,abierto,V y M,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,0
,AUD5I010,Innovación para la sostenibilidad      ,abierto,I y S,Comunicación y Gestión del Diseño,Estrategia y Sostenibilidad,0
,AUDIV027,Inteligencia Artificial        ,abierto,Ambas,Ciencia y Tecnología,Inteligencia Artificial y Datos,0
,AUD6I023,Inteligencia Artificial aplicada a la Gestión de Proyectos  ,abierto,I y S,Comunicación y Gestión del Diseño,Gestión y Proyectos de Mención,0
,AUD6V026,Inteligencia Artificial Generativa       ,abierto,V y M,Ciencia y Tecnología,Inteligencia Artificial y Datos,0
,AUDIV024,Internet de las cosas para vivienda social   ,abierto,Ambas,Ciencia y Tecnología,Prototipado Electrónico e Interacción,0
